iter	Passed	Remaining
612	53168	33566
613	53250	33476
614	53327	33383
615	53406	33292
616	53491	33204
617	53560	33107
618	53642	33017
619	53724	32927
620	53803	32836
621	53896	32753
622	53968	32658
623	54048	32567
624	54120	32472
625	54201	32382
626	54275	32288
627	54340	32189
628	54420	32098
629	54500	32007
630	54570	31912
631	54646	31819
632	54733	31733
633	54814	31643
634	54887	31549
635	54956	31452
636	55039	31364
637	55114	31271
638	55195	31182
639	55280	31095
640	55369	31010
641	55442	30916
642	55525	30828
643	55601	30736
644	55671	30641
645	55749	30550
646	55830	30461
647	55903	30367
648	55982	30277
649	56061	30187
650	56139	30096
651	56229	30012
652	56304	29919
653	56379	29827
654	56452	29734
655	56526	29642
656	56598	29548
657	56685	29462
658	56758	29369
659	56834	29278
660	56910	29186
661	56985	29095
662	57082	29014
663	57173	28931
664	57275	28852
665	57371	28771
666	57448	28681
667	57526	28591
668	57605	28501
669	57682	28410
670	57772	28326
671	57839	28231
672	57926	28145
673	58006	28056
674	58090	27969
675	58162	27876
676	58244	27788
677	58325	27700
678	58407	27612
679	58494	27526
680	58578	27439
681	58645	27345
682	58729	27258
683	58827	27177
684	58916	27093
685	59001	27006
686	59070	26912
687	59146	26822
688	59225	26732
689	59315	26648
690	59397	26561
691	59479	26473
692	59596	26401
693	59707	26326
694	59810	26247
695	59894	26161
696	59962	26067
697	60041	25977
698	60117	25887
699	60207	25803
700	60301	25720
701	60387	25634
702	60464	25544
703	60554	25460
704	60639	25373
705	60711	25282
706	60803	25198
707	60890	25113
708	60979	25028
709	61075	24946
710	61172	24864
711	61263	24780
712	61339	24690
713	61435	24608
714	61528	24525
715	61607	24436
716	61695	24351
717	61793	24269
718	61869	24179
719	61940	24087
720	62018	23998
721	62104	23912
722	62178	23822
723	62274	23739
724	62354	23651
725	62427	23560
726	62505	23471
727	62580	23381
728	62648	23288
729	62724	23199
730	62808	23112
731	62896	23027
732	62970	22937
733	63060	22852
734	63159	22771
735	63266	22693
736	63375	22615
737	63470	22532
738	63561	22448
739	63635	22358
740	63711	22268
741	63805	22185
742	63908	22105
743	64006	22023
744	64095	21938
745	64191	21856
746	64299	21777
747	64380	21689
748	64472	21605
749	64567	21522
750	64654	21436
751	64743	21351
752	64852	21273
753	64943	21188
754	65023	21100
755	65108	21013
756	65188	20925
757	65263	20836
758	65340	20747
759	65413	20656
760	65493	20568
761	65556	20475
762	65637	20387
763	65711	20298
764	65815	20217
765	65926	20139
766	66018	20055
767	66110	19971
768	66216	19890
769	66301	19804
770	66372	19713
771	66454	19626
772	66525	19535
773	66605	19448
774	66678	19358
775	66760	19271
776	66835	19181
777	66912	19093
778	66987	19004
779	67053	18912
780	67125	18822
781	67202	18734
782	67280	18646
783	67371	18561
784	67445	18472
785	67531	18386
786	67607	18297
787	67688	18210
788	67777	18125
789	67915	18053
790	68005	17968
791	68080	17879
792	68170	17794
793	68273	17713
794	68444	17649
795	68627	17587
796	68749	17510
797	68842	17426
798	68923	17338
799	68998	17249
800	69074	17160
801	69142	17070
802	69226	16983
803	69315	16897
804	69389	16808
805	69469	16721
806	69546	16632
807	69624	16544
808	69690	16453
809	69764	16364
810	69839	16275
811	69911	16186
812	69982	16096
813	70056	16007
814	70130	15919
815	70207	15831
816	70301	15746
817	70401	15663
818	70474	15574
819	70552	15487
820	70630	15399
821	70711	15312
822	70793	15225
823	70873	15137
824	70950	15050
825	71030	14962
826	71116	14876
827	71206	14791
828	71301	14707
829	71389	14622
830	71455	14531
831	71525	14442
832	71596	14353
833	71678	14266
834	71764	14181
835	71845	14094
836	71910	14004
837	71995	13917
838	72068	13829
839	72151	13743
840	72218	13653
841	72297	13566
842	72369	13478
843	72442	13389
844	72516	13301
845	72593	13214
846	72682	13129
847	72768	13043
848	72845	12956
849	72925	12869
850	72995	12780
851	73082	12695
852	73176	12610
853	73263	12525
854	73372	12443
855	73485	12361
856	73580	12277
857	73657	12190
858	73744	12104
859	73817	12016
860	73913	11932
861	73997	11846
862	74083	11760
863	74181	11676
864	74270	11591
865	74355	11505
866	74444	11420
867	74529	11333
868	74604	11246
869	74682	11159
870	74765	11073
871	74840	10985
872	74916	10898
873	74995	10811
874	75089	10727
875	75165	10639
876	75246	10553
877	75322	10466
878	75396	10378
879	75473	10291
880	75548	10204
881	75631	10118
882	75717	10032
883	75802	9946
884	75907	9863
885	75992	9777
886	76090	9693
887	76193	9609
888	76291	9525
889	76378	9440
890	76462	9353
891	76543	9267
892	76631	9182
893	76709	9095
894	76784	9008
895	76867	8922
896	76942	8835
897	77027	8749
898	77100	8662
899	77180	8575
900	77265	8489
901	77352	8404
902	77439	8318
903	77520	8232
904	77591	8145
905	77664	8057
906	77745	7971
907	77820	7884
908	77899	7798
909	77972	7711
910	78045	7624
911	78120	7537
912	78208	7452
913	78288	7366
914	78370	7280
915	78470	7195
916	78575	7112
917	78666	7026
918	78759	6941
919	78865	6857
920	78964	6773
921	79040	6686
922	79123	6600
923	79202	6514
924	79275	6427
925	79354	6341
926	79422	6254
927	79499	6168
928	79570	6081
929	79646	5994
930	79720	5908
931	79788	5821
932	79863	5735
933	79931	5648
934	80012	5562
935	80089	5476
936	80165	5390
937	80250	5304
938	80327	5218
939	80398	5131
940	80488	5046
941	80562	4960
942	80640	4874
943	80718	4788
944	80786	4701
945	80869	4616
946	80947	4530
947	81021	4444
948	81112	4359
949	81195	4273
950	81273	4187
951	81347	4101
952	81427	4015
953	81511	3930
954	81591	3844
955	81656	3758
956	81742	3672
957	81897	3590
958	81995	3505
959	82088	3420
960	82179	3335
961	82260	3249
962	82340	3163
963	82422	3078
964	82489	2991
965	82563	2905
966	82642	2820
967	82721	2734
968	82817	2649
969	82894	2563
970	82959	2477
971	83043	2392
972	83133	2306
973	83211	2221
974	83284	2135
975	83352	2049
976	83421	1963
977	83493	1878
978	83569	1792
979	83660	1707
980	83750	1622
981	83835	1536
982	83920	1451
983	84001	1365
984	84081	1280
985	84156	1194
986	84231	1109
987	84296	1023
988	84380	938
989	84480	853
990	84565	767
991	84696	683
992	84790	597
993	84880	512
994	84972	426
995	85058	341
996	85139	256
997	85220	170
998	85356	85
999	85468	0
